Date,Captcha Question,Captcha Answer,Validity of Recognition,Match Result,Registering Authority,Number plate,Registration Date,Chassis No,Engine No,Owner Name,Vehicle Class,Fuel,FitnessREGN Upto,MV Tax upto,Insurance Upto,MakerModel,PUCC Upto,Emission norms,RC Status,Financed
02:50 PM,"Which one is greater 3 , 10",7,Valid Number Plate,Success,"DELHI (SOUTH), Delhi",DE29C7060,08-09-22,MA3EPDE1S008840,K10BN146987,Pooja Sharma,Heavy Vehicle,ELECTRIC,24-02-2029,LTT,04-01-27,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,26-03-2028,BS-VI,NOC ISSUED,YES
05:20 PM,"Which one is greater 5 , 3",3,Valid Number Plate,Success,"CHENNAI (EAST), Tamil Nadu",TA75B3488,10-04-07,MA3EPDE1S008418,K10BN142222,Priya Patel,Heavy Vehicle,PETROL,04-07-32,LTT,14-07-2023,TATA MOTORS NANO LX,09-04-21,EURO 5,NOC ISSUED,YES
03:17 PM,"Which one is lesser 8 , 2",2,Valid Number Plate,Success,"CHENNAI (EAST), Tamil Nadu",TA91C3962,04-07-12,MA3EPDE1S005181,K10BN147928,Suresh Gupta,Three-Wheeler,PETROL,23-06-2027,LTT,04-11-30,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,26-04-2024,EURO 4,NOC ISSUED,YES
10:40 AM,"Which one is greater 6 , 3",7,Valid Number Plate,Failure,"BANGALORE (EAST), Karnataka",KA33A8241,10-08-05,MA3EPDE1S002229,K10BN141505,Bihari Bhai,Heavy Vehicle,PETROL,06-03-35,LTT,24-11-2027,HONDA CITY VX MT,22-09-2028,EURO 4,CANCELLED,YES
10:45 PM,"Which one is lesser 1 , 1",4,Valid Number Plate,Failure,"CHENNAI (EAST), Tamil Nadu",TA17B7485,05-02-20,MA3EPDE1S001066,K10BN149964,Duraiyan Pandiyan,Two-Wheeler,ELECTRIC,19-03-2025,LTT,08-09-30,TOYOTA ETIOS GD,20-05-2027,EURO 4,ACTIVE,YES
02:52 PM,"Which one is greater 9 , 9",2,Valid Number Plate,Success,"CHENNAI (EAST), Tamil Nadu",TA52C4232,27-07-2023,MA3EPDE1S001900,K10BN149180,Duraiyan Pandiyan,Heavy Vehicle,CNG,04-12-29,LTT,01-08-26,HONDA CITY VX MT,03-05-24,EURO 5,NOC ISSUED,NO
10:44 AM,"Which one is greater 7 , 2",1,Valid Number Plate,Success,"KOLKATA (NORTH), West Bengal",WE41B7001,08-10-17,MA3EPDE1S003528,K10BN146142,Priya Patel,Motor Car(LMV),CNG,28-04-2032,LTT,04-01-21,TATA MOTORS NANO LX,15-09-2027,BS-VI,ACTIVE,NO
07:54 PM,"Which one is greater 5 , 5",9,Valid Number Plate,Success,"DELHI (SOUTH), Delhi",DE55C4671,14-02-2010,MA3EPDE1S009673,K10BN146326,Amitabh Bachchan,Motor Car(LMV),DIESEL,05-03-31,LTT,09-08-30,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,14-06-2020,EURO 5,NOC ISSUED,YES
07:30 PM,"Which one is lesser 3 , 8",10,Valid Number Plate,Failure,"DELHI (SOUTH), Delhi",DE38A2519,23-09-2023,MA3EPDE1S008904,K10BN146383,Suresh Gupta,Two-Wheeler,ELECTRIC,10-07-30,LTT,11-03-29,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,01-06-28,BS-VI,CANCELLED,NO
11:48 AM,"Which one is greater 9 , 4",3,Valid Number Plate,Failure,"BANGALORE (EAST), Karnataka",KA70A7334,17-10-2009,MA3EPDE1S002051,K10BN141393,Suresh Gupta,Motor Car(LMV),DIESEL,15-06-2025,LTT,26-07-2028,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,03-06-30,BS-VI,CANCELLED,NO
04:12 PM,"Which one is lesser 5 , 8",2,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA27B2086,05-12-03,MA3EPDE1S007418,K10BN141117,Vijay Singh,Heavy Vehicle,CNG,08-12-25,LTT,09-04-23,MAHINDRA SCORPIO S10,26-06-2028,EURO 4,NOC ISSUED,YES
12:39 PM,"Which one is greater 4 , 10",1,Valid Number Plate,Failure,"CHENNAI (EAST), Tamil Nadu",TA55A2353,27-06-2022,MA3EPDE1S004907,K10BN144496,Duraiyan Pandiyan,Three-Wheeler,PETROL,24-01-2031,LTT,24-05-2030,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,26-09-2023,EURO 5,CANCELLED,YES
10:46 PM,"Which one is greater 6 , 6",8,Valid Number Plate,Failure,"CHENNAI (CENTRAL), Tamil Nadu",TA94B6838,22-11-2012,MA3EPDE1S004762,K10BN147467,Rajesh Kumar,Three-Wheeler,PETROL,21-10-2029,LTT,04-07-21,HONDA CITY VX MT,24-02-2029,BS-VI,CANCELLED,YES
08:37 PM,"Which one is greater 2 , 7",2,Valid Number Plate,Failure,"AHMEDABAD, Gujarat",GU10C7507,21-01-2015,MA3EPDE1S009286,K10BN146500,Bihari Bhai,Two-Wheeler,ELECTRIC,12-08-34,LTT,01-04-20,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,14-01-2024,EURO 4,NOC ISSUED,YES
08:58 PM,"Which one is greater 5 , 4",3,Valid Number Plate,Failure,"MUMBAI (EAST), Maharashtra",MA79B6801,12-11-09,MA3EPDE1S002184,K10BN145522,Bihari Bhai,Motor Car(LMV),ELECTRIC,18-04-2031,LTT,18-03-2024,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,10-05-22,BS-VI,NOC ISSUED,NO
03:26 PM,"Which one is lesser 4 , 5",3,Valid Number Plate,Failure,"MUMBAI (CENTRAL), Maharashtra",MA39A2065,20-03-2021,MA3EPDE1S003504,K10BN141212,Duraiyan Pandiyan,Three-Wheeler,ELECTRIC,17-07-2030,LTT,14-11-2026,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,21-02-2025,BS-VI,NOC ISSUED,YES
10:00 AM,"Which one is greater 7 , 10",5,Valid Number Plate,Success,"AHMEDABAD, Gujarat",GU40C8361,11-06-15,MA3EPDE1S002763,K10BN148119,Jitesh Gaikwad,Motor Car(LMV),PETROL,18-05-2027,LTT,06-03-25,TOYOTA ETIOS GD,20-12-2021,EURO 5,NOC ISSUED,NO
